epoch,n_samples,Loss Sum,Delta Noise Loss,Beta Loss,KL Loss,Gamma Loss,mse,mape,nmae,psnr,ssim
54,2,0.8421339999999999,0.010030500000000001,0.3461425,0.058182,0.011727,2.789084,114.679107,0.887262,1.6347595,0.156123
55,2,0.82793,0.0099295,0.3400025,0.0572315,0.0117665,2.8513574999999998,116.5284035,0.8741194999999999,1.859712,0.142393
56,2,0.814217,0.009814,0.33406199999999997,0.0562995,0.01184,2.238583,181.036091,0.7795034999999999,2.9396215000000003,0.317856
57,2,0.8009585,0.009697500000000001,0.3283165,0.0553895,0.011924,4.380864,133.995843,1.108983,-0.316442,-0.139142
58,2,0.7881214999999999,0.009592,0.32275600000000004,0.054507,0.0120025,4.8188105,136.773515,1.156418,-0.642063,-0.1510455
59,2,0.7757075,0.0094885,0.31737899999999997,0.053652000000000005,0.012078,3.421355,124.0760145,0.9704405,0.8963555000000001,0.051671
60,2,0.763633,0.009375,0.312176,0.05282149999999999,0.0121315,3.0547744999999997,115.85644500000001,0.9066814999999999,1.6326610000000001,0.162371
61,2,0.7519290000000001,0.009260500000000001,0.3071425,0.052013500000000004,0.012178999999999999,2.7771375000000003,114.4238325,0.8727345,1.9341415,0.177848
62,2,0.740685,0.009160999999999999,0.3022735,0.0512325,0.012256,3.0108734999999998,112.1760965,0.9157055,1.3598705,0.11277499999999999
63,2,0.7298385000000001,0.009125,0.2975595,0.0504755,0.012321499999999999,2.5364795,97.0965055,0.842546,2.1163915,0.2068005
64,2,0.7192879999999999,0.0090375,0.2929895,0.049744,0.0123915,3.2754825,126.1197745,0.9548,1.078889,0.0569435
65,2,0.709017,0.00894,0.2885515,0.049035,0.012452,3.2797755000000004,111.460137,0.9616655000000001,0.908657,0.0383915
66,2,0.6990415000000001,0.0088605,0.28425100000000003,0.0483475,0.012491499999999999,2.8900325000000002,124.979073,0.897695,1.4966845000000002,0.1310145
67,2,0.689401,0.008771000000000001,0.280091,0.0476795,0.0125445,3.4194345,127.00625050000001,0.976182,0.8798765,0.01779
68,2,0.680048,0.008694,0.2760335,0.0470335,0.0126105,3.883386,498.7969935,1.0392725,0.29096600000000006,-0.0342495
69,2,0.6709350000000001,0.008644,0.272091,0.046406,0.012649,3.256954,101.3945875,0.938868,1.2887445,0.10596549999999999
70,2,0.662084,0.0085635,0.2682645,0.045796500000000004,0.012699,3.379097,129.26538,0.9746025,0.8416855,0.044220999999999996
71,2,0.6534545,0.008477,0.26453550000000003,0.045205,0.0127485,3.977732,125.08438849999999,1.0580795,0.108541,-0.085274
72,2,0.645089,0.0083915,0.260917,0.044630500000000004,0.0128015,2.786276,151.4588415,0.89028,1.607676,0.16205699999999998
73,2,0.6370315,0.0084125,0.257399,0.044072,0.0128395,2.712012,103.8177015,0.8730515,1.7511394999999998,0.17503849999999999
74,2,0.6291065,0.00835,0.2539795,0.043525,0.0128735,2.958754,109.034127,0.899895,1.701013,0.130929
75,2,0.62138,0.00828,0.2506435,0.0429955,0.012911,4.1656915,118.2412085,1.0779044999999998,-0.06161899999999998,-0.088003
76,2,0.613856,0.008213,0.2474055,0.0424765,0.01294,2.6232085,115.4830575,0.8566625,1.9779589999999998,0.2225535
77,2,0.6065235,0.0081425,0.24424099999999999,0.0419725,0.012976999999999999,3.5334475000000003,134.117943,0.9936105,0.606401,-0.019107
78,2,0.5993219999999999,0.008067000000000001,0.24115599999999998,0.04148,0.0129915,4.4507845,140.439147,1.1143705,-0.425269,-0.162061
79,2,0.5923115,0.008006,0.23815199999999997,0.040998,0.0130025,3.349286,110.463798,0.9667725,0.885907,0.033237
80,2,0.585488,0.007958,0.235222,0.040527999999999995,0.0130145,3.733675,115.0758985,1.023409,0.366234,-0.026376999999999998
81,2,0.5788215,0.0079,0.2323635,0.040070999999999996,0.013026,3.600993,120.7066955,1.0082145,0.47741350000000005,-0.038827
82,2,0.572344,0.007835,0.229578,0.0396235,0.013052999999999999,3.237588,138.3773505,0.95538,0.9356180000000001,0.0111185
83,2,0.5659955,0.007769,0.226851,0.0391895,0.0130725,3.8822295,143.59022399999998,1.0424475,0.16846750000000002,-0.07056
84,2,0.559782,0.0077044999999999995,0.224192,0.0387635,0.0130835,4.4853515,136.25626549999998,1.12853,-0.4792165,-0.210811
85,2,0.5537665,0.00766,0.221597,0.038348,0.013108,3.4143334999999997,123.86757750000001,0.9852985000000001,0.732571,0.007506499999999999
86,2,0.5478465,0.007605499999999999,0.2190645,0.037943500000000005,0.0131125,3.9174619999999996,116.2615715,1.0509575,0.137325,-0.076102
87,2,0.542046,0.0075555,0.216586,0.0375445,0.013115000000000002,2.917488,110.31410400000001,0.898444,1.6079240000000001,0.1383235
88,2,0.5363914999999999,0.0075014999999999995,0.2141605,0.037156999999999996,0.0131275,3.0891865000000003,122.525185,0.9341145,1.2049775,0.0972345
89,2,0.530843,0.0074505000000000005,0.21179150000000002,0.036777000000000004,0.013128,3.2616835,141.7300045,0.9558385,0.98022,0.031008
90,2,0.5254099999999999,0.0074065,0.20947500000000002,0.0364045,0.013123,2.788584,101.1485995,0.8867635,1.6200204999999999,0.16743
91,2,0.520133,0.007381,0.2072135,0.036038,0.013125000000000001,3.5493715,125.467664,0.9994705,0.5885015,-0.016237500000000002
92,2,0.5149155000000001,0.007333,0.204994,0.0356775,0.0131195,2.85675,206.23310800000002,0.901619,1.4932305000000001,0.133511
93,2,0.5098455,0.007281,0.20282250000000002,0.035327,0.013132999999999999,3.80714,117.5433455,1.039749,0.2243505,-0.0653285
94,2,0.504912,0.007229,0.2006975,0.034988,0.0131555,3.903323,125.7463755,1.044848,0.239081,-0.06719
95,2,0.500077,0.007179,0.1986155,0.0346615,0.0131715,3.0672420000000002,114.041382,0.9306745000000001,1.2031735000000001,0.091307
96,2,0.495343,0.007150500000000001,0.19657950000000002,0.034340499999999996,0.0131765,3.2965025,109.01405199999999,0.9615275000000001,0.9548559999999999,0.048243499999999995
97,2,0.4907005,0.0071055,0.1945875,0.034023,0.0131865,3.1963144999999997,120.441836,0.9492645,1.0122625,0.065488
98,2,0.486165,0.007069499999999999,0.1926345,0.033714,0.013198999999999999,3.3900034999999997,111.0963405,0.976187,0.7675085,0.025061499999999994
99,2,0.4816725,0.007019,0.190714,0.0334095,0.0132035,3.3522105,112.1905565,0.956476,1.0621165,0.0797825
100,2,0.47728499999999996,0.006972,0.18883899999999998,0.03311,0.013207,3.1288489999999998,102.76768200000001,0.9365345,1.1692885,0.0882125
101,2,0.472969,0.0069235,0.187,0.0328155,0.0132075,3.41339,109.499514,0.9803075,0.734445,0.013702500000000003
102,2,0.46870449999999997,0.006879,0.185196,0.032525,0.013192,3.4542735,115.3818545,0.9879975,0.6593305,-0.0180925
